z theta q_v velx
0.0 303.025079 14.000 12.0
480.0 303.337272 14.000 9.696
960.0 304.402985 14.000 7.392
1440.0 305.397187 12.796 5.088
1920.0 306.306214 10.556 2.784
2400.0 307.365269 8.678 0.540
2880.0 308.550318 7.104 0.0
3360.0 309.845257 5.788 0.0
3840.0 311.235047 4.691 0.0
4320.0 312.708238 3.777 0.0
4800.0 314.255743 3.020 0.0
5280.0 315.869985 2.396 0.0
5760.0 317.544512 1.885 0.0
6240.0 319.273784 1.469 0.0
6720.0 321.052868 1.134 0.0
7200.0 322.877588 0.866 0.0
7680.0 324.744235 0.653 0.0
8160.0 326.649534 0.487 0.0
8640.0 328.590559 0.357 0.0
9120.0 330.565013 0.259 0.0
9600.0 332.571020 0.184 0.0
10080.0 334.606102 0.129 0.0
10560.0 336.668475 0.088 0.0
11520.0 340.869535 0.038 0.0
12000.0 343.712008 0.026 0.0
12480.0 350.647306 0.026 0.0
12960.0 358.453724 0.029 0.0
13440.0 366.433620 0.031 0.0
13920.0 374.591035 0.034 0.0
14400.0 382.929618 0.037 0.0
15360.0 400.170355 0.044 0.0
15840.0 409.081924 0.049 0.0
16320.0 418.191751 0.053 0.0
16800.0 427.504224 0.058 0.0
17280.0 437.023716 0.063 0.0
17760.0 446.755038 0.069 0.0
18720.0 466.871821 0.083 0.0
19200.0 477.267160 0.091 0.0
19680.0 487.891998 0.094 0.0
20160.0 498.742611 0.094 0.0
20640.0 509.643457 0.094 0.0
21120.0 520.544304 0.094 0.0
21600.0 531.445151 0.094 0.0
22560.0 553.246845 0.094 0.0
23040.0 564.147692 0.094 0.0
23520.0 575.048539 0.094 0.0
24000.0 585.949386 0.094 0.0
